"season","week","team","SIC"
2021,3,"WAS",86
2021,3,"NYJ",72.6
2021,3,"MIA",83.6
2021,3,"SEA",87.8
2021,3,"TB",88.4
2021,3,"GB",87.1
2021,3,"PHI",86.5
2021,4,"JAX",89.1
2021,4,"WAS",85.8
2021,4,"DET",84.5
2021,4,"TEN",86
2021,4,"CLE",86.9
2021,4,"IND",75
2021,4,"CAR",78.9
2021,4,"NYG",78.6
2021,4,"KC",88.1
2021,4,"HOU",75.6
2021,4,"ARI",91.2
2021,4,"SEA",88.3
2021,4,"BAL",79
2021,4,"PIT",83.3
2021,4,"TB",88
2021,4,"LV",87.2
2021,5,"LA",93
2021,5,"NYJ",74.8
2021,5,"PHI",80.8
2021,5,"MIA",85.2
2021,5,"NO",86.8
2021,5,"TEN",82.9
2021,5,"DET",78.5
2021,5,"DEN",85.4
2021,5,"GB",85.8
2021,5,"NE",77.7
2021,5,"CHI",75.1
2021,5,"CLE",84.9
2021,5,"NYG",77.6
2021,5,"SF",71
2021,5,"BUF",89.9
2021,5,"IND",78.3
2021,6,"TB",86.2
2021,6,"MIA",83.3
2021,6,"HOU",73.5
2021,6,"LA",92.6
2021,6,"CIN",83.9
2021,6,"LAC",83.7
2021,6,"MIN",87.9
2021,6,"KC",85.3
2021,6,"GB",85
2021,6,"ARI",79.6
2021,6,"DAL",82.2
2021,6,"LV",80.7
2021,6,"SEA",78
2021,6,"BUF",92.1
2021,7,"DEN",80.3
2021,7,"NYJ",76.7
2021,7,"ATL",88.5
2021,7,"KC",85.4
2021,7,"WAS",72.6
2021,7,"CAR",75.6
2021,7,"CIN",88.9
2021,7,"PHI",81.4
2021,7,"DET",78
2021,7,"HOU",74.1
2021,7,"CHI",71.3
2021,7,"IND",79.6
2021,7,"NO",86.8
2021,8,"GB",75.6
2021,8,"SF",75.6
2021,8,"PIT",84.8
2021,8,"CIN",88
2021,8,"LA",84.6
2021,8,"TEN",80.4
2021,8,"PHI",77.4
2021,8,"CAR",78.6
2021,8,"MIA",86.4
2021,8,"NE",81
2021,8,"JAX",85.5
2021,8,"TB",84.1
2021,8,"WAS",73.9
2021,8,"DAL",78.3
2021,8,"NYG",70.8
2021,9,"NYJ",72.7
2021,9,"DEN",68.7
2021,9,"MIN",86.8
2021,9,"NE",84.6
2021,9,"BUF",87.3
2021,9,"CLE",82.4
2021,9,"ATL",83.8
2021,9,"LV",83.2
2021,9,"LAC",85.3
2021,9,"HOU",83.8
2021,9,"GB",70.2
2021,9,"ARI",84.8
2021,9,"TEN",65.8
2021,9,"CHI",76
2021,10,"BAL",71.4
2021,10,"JAX",86.7
2021,10,"CLE",73.4
2021,10,"ATL",83.2
2021,10,"BUF",82.7
2021,10,"NO",72
2021,10,"TB",86.7
2021,10,"DET",80.1
2021,10,"MIN",78.8
2021,10,"CAR",77.2
2021,10,"SEA",86.1
2021,10,"PHI",81.1
2021,10,"KC",87.3
2021,10,"LA",84.4
2021,11,"NE",88.9
2021,11,"GB",79.8
2021,11,"HOU",81
2021,11,"NO",78.9
2021,11,"BAL",71.7
2021,11,"WAS",62.2
2021,11,"MIA",86.8
2021,11,"IND",85.5
2021,11,"SF",75.1
2021,11,"DET",72.1
2021,11,"CIN",85.4
2021,11,"DAL",82.9
2021,11,"ARI",85.1
2021,11,"PIT",64.8
2021,11,"NYG",63.9
2021,12,"CHI",79.3
2021,12,"LV",83.6
2021,12,"BUF",86.5
2021,12,"PIT",80.8
2021,12,"CAR",82
2021,12,"ATL",82.9
2021,12,"TB",81.8
2021,12,"PHI",86.7
2021,12,"NYJ",69.6
2021,12,"TEN",61.4
2021,12,"LAC",82.7
2021,12,"MIN",77.7
